N_pix,T_mag,noise,noise_star,noise_sky,noise_ro,noise_sys
35,4,5.005e-05,2.299e-06,1.621e-08,1.326e-08,5e-05
35,4.05,5.006e-05,2.352e-06,1.697e-08,1.389e-08,5e-05
35,4.1,5.006e-05,2.407e-06,1.777e-08,1.454e-08,5e-05
35,4.15,5.006e-05,2.463e-06,1.861e-08,1.523e-08,5e-05
35,4.2,5.006e-05,2.52e-06,1.948e-08,1.595e-08,5e-05
35,4.25,5.007e-05,2.579e-06,2.04e-08,1.67e-08,5e-05
35,4.3,5.007e-05,2.639e-06,2.136e-08,1.748e-08,5e-05
35,4.35,5.007e-05,2.701e-06,2.237e-08,1.831e-08,5e-05
35,4.4,5.008e-05,2.764e-06,2.343e-08,1.917e-08,5e-05
35,4.45,5.008e-05,2.828e-06,2.453e-08,2.007e-08,5e-05
35,4.5,5.008e-05,2.894e-06,2.569e-08,2.102e-08,5e-05
35,4.55,5.009e-05,2.961e-06,2.69e-08,2.201e-08,5e-05
35,4.6,5.009e-05,3.03e-06,2.816e-08,2.305e-08,5e-05
35,4.65,5.01e-05,3.101e-06,2.949e-08,2.413e-08,5e-05
35,4.7,5.01e-05,3.173e-06,3.088e-08,2.527e-08,5e-05
35,4.75,5.011e-05,3.247e-06,3.234e-08,2.646e-08,5e-05
35,4.8,5.011e-05,3.323e-06,3.386e-08,2.771e-08,5e-05
35,4.85,5.012e-05,3.4e-06,3.546e-08,2.902e-08,5e-05
35,4.9,5.012e-05,3.479e-06,3.713e-08,3.038e-08,5e-05
35,4.95,5.013e-05,3.56e-06,3.888e-08,3.181e-08,5e-05
35,5,5.013e-05,3.643e-06,4.071e-08,3.331e-08,5e-05
35,5.05,5.014e-05,3.728e-06,4.263e-08,3.488e-08,5e-05
35,5.1,5.015e-05,3.815e-06,4.464e-08,3.653e-08,5e-05
35,5.15,5.015e-05,3.904e-06,4.674e-08,3.825e-08,5e-05
35,5.2,5.016e-05,3.995e-06,4.894e-08,4.005e-08,5e-05
35,5.25,5.017e-05,4.088e-06,5.125e-08,4.194e-08,5e-05
35,5.3,5.017e-05,4.183e-06,5.366e-08,4.392e-08,5e-05
35,5.35,5.018e-05,4.28e-06,5.619e-08,4.599e-08,5e-05
35,5.4,5.019e-05,4.38e-06,5.884e-08,4.815e-08,5e-05
35,5.45,5.02e-05,4.482e-06,6.162e-08,5.042e-08,5e-05
35,5.5,5.021e-05,4.586e-06,6.452e-08,5.28e-08,5e-05
35,5.55,5.022e-05,4.693e-06,6.756e-08,5.529e-08,5e-05
35,5.6,5.023e-05,4.803e-06,7.074e-08,5.789e-08,5e-05
35,5.65,5.024e-05,4.914e-06,7.408e-08,6.062e-08,5e-05
34,5.7,5.025e-05,5.03e-06,7.537e-08,6.258e-08,5e-05
34,5.75,5.026e-05,5.147e-06,7.892e-08,6.553e-08,5e-05
34,5.8,5.028e-05,5.267e-06,8.264e-08,6.862e-08,5e-05
34,5.85,5.029e-05,5.389e-06,8.654e-08,7.185e-08,5e-05
34,5.9,5.03e-05,5.515e-06,9.062e-08,7.524e-08,5e-05
34,5.95,5.032e-05,5.643e-06,9.489e-08,7.878e-08,5e-05
34,6,5.033e-05,5.775e-06,9.936e-08,8.25e-08,5e-05
34,6.05,5.035e-05,5.909e-06,1.04e-07,8.639e-08,5e-05
33,6.1,5.036e-05,6.05e-06,1.058e-07,8.92e-08,5e-05
33,6.15,5.038e-05,6.191e-06,1.108e-07,9.34e-08,5e-05
33,6.2,5.04e-05,6.335e-06,1.16e-07,9.78e-08,5e-05
33,6.25,5.042e-05,6.482e-06,1.215e-07,1.024e-07,5e-05
