# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 29 06:43:29 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_jmagerr1:    J (2MASS) Magnitude Upper Unc
# COLUMN sy_jmagerr2:    J (2MASS) Magnitude Lower Unc
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_hmagerr1:    H (2MASS) Magnitude Upper Unc
# COLUMN sy_hmagerr2:    H (2MASS) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_umagerr1:    u (Sloan) Magnitude Upper Unc
# COLUMN sy_umagerr2:    u (Sloan) Magnitude Lower Unc
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_gmagerr1:    g (Sloan) Magnitude Upper Unc
# COLUMN sy_gmagerr2:    g (Sloan) Magnitude Lower Unc
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_rmagerr1:    r (Sloan) Magnitude Upper Unc
# COLUMN sy_rmagerr2:    r (Sloan) Magnitude Lower Unc
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_imagerr1:    i (Sloan) Magnitude Upper Unc
# COLUMN sy_imagerr2:    i (Sloan) Magnitude Lower Unc
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_zmagerr1:    z (Sloan) Magnitude Upper Unc
# COLUMN sy_zmagerr2:    z (Sloan) Magnitude Lower Unc
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w1magerr1:   W1 (WISE) Magnitude Upper Unc
# COLUMN sy_w1magerr2:   W1 (WISE) Magnitude Lower Unc
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w2magerr1:   W2 (WISE) Magnitude Upper Unc
# COLUMN sy_w2magerr2:   W2 (WISE) Magnitude Lower Unc
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w3magerr1:   W3 (WISE) Magnitude Upper Unc
# COLUMN sy_w3magerr2:   W3 (WISE) Magnitude Lower Unc
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_w4magerr1:   W4 (WISE) Magnitude Upper Unc
# COLUMN sy_w4magerr2:   W4 (WISE) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN sy_icmag:       I (Cousins) Magnitude
# COLUMN sy_icmagerr1:   I (Cousins) Magnitude Upper Unc
# COLUMN sy_icmagerr2:   I (Cousins) Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN sy_kepmag:      Kepler Magnitude
# COLUMN sy_kepmagerr1:  Kepler Magnitude Upper Unc
# COLUMN sy_kepmagerr2:  Kepler Magnitude Lower Unc
#
default_flag,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2
1,5.7260000,0.0170000,-0.0170000,4.7230700,0.0230000,-0.0230000,2.9430000,0.3340000,-0.3340000,2.4840000,0.2680000,-0.2680000,2.2820000,0.3460000,-0.3460000,,,,,,,,,,,,,,,,0.6390000,,,0.7320000,,,2.3580000,0.0100000,-0.0100000,2.2700000,0.0180000,-0.0180000,4.4403800,0.0038479,-0.0038479,,,,3.8379000,0.0071000,-0.0071000,,,
1,6.3820000,0.0450000,-0.0450000,5.0130000,0.0050000,-0.0050000,2.8760000,0.2300000,-0.2300000,2.0910000,0.1940000,-0.1940000,1.9390000,0.2700000,-0.2700000,,,,,,,,,,,,,,,,-0.2900000,,,0.1430000,,,1.8940000,0.0120000,-0.0120000,1.7870000,0.0130000,-0.0130000,4.5621600,0.0039035,-0.0039035,,,,3.8229400,0.0075000,-0.0075000,,,
1,6.2560000,0.0170000,-0.0170000,5.2313300,0.0230000,-0.0230000,3.0190000,0.1800000,-0.1800000,2.6080000,0.1840000,-0.1840000,2.3310000,0.2400000,-0.2400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9178100,0.0028262,-0.0028262,,,,4.3214000,0.0073000,-0.0073000,,,
1,7.4950000,0.0200000,-0.0200000,6.6193500,0.0230000,-0.0230000,5.1580000,0.0290000,-0.0290000,4.8030000,0.0160000,-0.0160000,4.7140000,0.0160000,-0.0160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3830000,0.0003512,-0.0003512,,,,5.8631000,0.0060000,-0.0060000,,,
1,6.8760000,0.0724983,-0.0724983,6.2150000,0.0160000,-0.0160000,4.9930000,0.0370000,-0.0370000,4.6950000,0.0360000,-0.0360000,4.6510000,0.0160000,-0.0160000,,,,,,,,,,,,,,,,4.7730000,0.2360000,-0.2360000,4.5680000,0.1060000,-0.1060000,4.9260000,0.0330000,-0.0330000,4.7130000,0.0280000,-0.0280000,6.0642800,0.0006029,-0.0006029,,,,5.6281000,0.0060000,-0.0060000,6.095,,
1,6.6150000,0.0150000,-0.0150000,5.2260600,0.0230000,-0.0230000,2.9430000,0.2700000,-0.2700000,2.2660000,0.2280000,-0.2280000,2.0940000,0.2440000,-0.2440000,,,,,,,,,,,,,,,,0.1220000,,,0.7520000,,,2.0580000,0.0110000,-0.0110000,1.9310000,0.0190000,-0.0190000,4.7542900,0.0050550,-0.0050550,,,,3.9765500,0.0080000,-0.0080000,,,
1,6.4300000,0.0180000,-0.0180000,5.5104800,0.0230000,-0.0230000,4.0320000,0.2360000,-0.2360000,3.4400000,0.1860000,-0.1860000,3.3660000,0.2040000,-0.2040000,,,,,,,,,,,,,,,,3.3700000,0.3730000,-0.3730000,2.9310000,0.4160000,-0.4160000,3.3550000,0.0130000,-0.0130000,3.3080000,0.0250000,-0.0250000,5.2747600,0.0026539,-0.0026539,,,,4.7181000,0.0067000,-0.0067000,,,
1,14.1680000,0.0490000,-0.0490000,12.6180000,0.0690000,-0.0690000,9.8200000,0.0270000,-0.0270000,9.1210000,0.0230000,-0.0230000,8.9160000,0.0210000,-0.0210000,,,,,,,,,,,,,,,,8.7940000,0.0220000,-0.0220000,8.7900000,0.0200000,-0.0200000,8.6840000,0.0280000,-0.0280000,8.5310000,0.3700000,-0.3700000,12.0572000,0.0022750,-0.0022750,,,,11.1941000,0.0075000,-0.0075000,,,
1,6.4390000,0.0316386,-0.0316386,5.5900000,0.0010000,-0.0010000,3.8450000,0.2400000,-0.2400000,3.3400000,0.1900000,-0.1900000,3.1590000,0.2800000,-0.2800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3339000,0.0019998,-0.0019998,,,,4.7812000,0.0064000,-0.0064000,,,
1,7.3990000,0.0190000,-0.0190000,6.4535000,0.0230000,-0.0230000,5.2920000,0.3380000,-0.3380000,4.4860000,0.0760000,-0.0760000,4.2850000,0.0160000,-0.0160000,,,,,,,,,,,,,,,,4.0940000,0.3270000,-0.3270000,3.5980000,0.1560000,-0.1560000,4.2540000,0.0150000,-0.0150000,4.2010000,0.0240000,-0.0240000,6.2037400,0.0004976,-0.0004976,,,,5.6416000,0.0060000,-0.0060000,,,
1,7.3990000,0.0190000,-0.0190000,6.4535000,0.0230000,-0.0230000,5.2920000,0.3380000,-0.3380000,4.4860000,0.0760000,-0.0760000,4.2850000,0.0160000,-0.0160000,,,,,,,,,,,,,,,,4.0940000,0.3270000,-0.3270000,3.5980000,0.1560000,-0.1560000,4.2540000,0.0150000,-0.0150000,4.2010000,0.0240000,-0.0240000,6.2037400,0.0004976,-0.0004976,,,,5.6416000,0.0060000,-0.0060000,,,
