N_pix,T_mag,noise,noise_star,noise_sky,noise_ro,noise_sys
35,4,6.07e-05,9.195e-06,2.269e-07,2.122e-07,6e-05
35,4.05,6.073e-05,9.409e-06,2.376e-07,2.222e-07,6e-05
35,4.1,6.077e-05,9.628e-06,2.488e-07,2.327e-07,6e-05
35,4.15,6.08e-05,9.852e-06,2.605e-07,2.436e-07,6e-05
35,4.2,6.084e-05,1.008e-05,2.728e-07,2.551e-07,6e-05
35,4.25,6.088e-05,1.032e-05,2.856e-07,2.671e-07,6e-05
35,4.3,6.092e-05,1.056e-05,2.991e-07,2.797e-07,6e-05
35,4.35,6.097e-05,1.08e-05,3.132e-07,2.929e-07,6e-05
35,4.4,6.101e-05,1.105e-05,3.28e-07,3.067e-07,6e-05
35,4.45,6.106e-05,1.131e-05,3.434e-07,3.212e-07,6e-05
35,4.5,6.111e-05,1.158e-05,3.596e-07,3.363e-07,6e-05
35,4.55,6.116e-05,1.185e-05,3.765e-07,3.522e-07,6e-05
35,4.6,6.121e-05,1.212e-05,3.943e-07,3.688e-07,6e-05
35,4.65,6.127e-05,1.24e-05,4.129e-07,3.861e-07,6e-05
35,4.7,6.133e-05,1.269e-05,4.323e-07,4.043e-07,6e-05
35,4.75,6.139e-05,1.299e-05,4.527e-07,4.234e-07,6e-05
35,4.8,6.146e-05,1.329e-05,4.74e-07,4.434e-07,6e-05
35,4.85,6.153e-05,1.36e-05,4.964e-07,4.642e-07,6e-05
35,4.9,6.16e-05,1.392e-05,5.198e-07,4.861e-07,6e-05
35,4.95,6.167e-05,1.424e-05,5.443e-07,5.09e-07,6e-05
35,5,6.175e-05,1.457e-05,5.699e-07,5.33e-07,6e-05
35,5.05,6.183e-05,1.491e-05,5.968e-07,5.581e-07,6e-05
35,5.1,6.192e-05,1.526e-05,6.249e-07,5.845e-07,6e-05
35,5.15,6.201e-05,1.561e-05,6.544e-07,6.12e-07,6e-05
35,5.2,6.21e-05,1.598e-05,6.852e-07,6.408e-07,6e-05
35,5.25,6.22e-05,1.635e-05,7.175e-07,6.71e-07,6e-05
35,5.3,6.23e-05,1.673e-05,7.513e-07,7.027e-07,6e-05
35,5.35,6.24e-05,1.712e-05,7.867e-07,7.358e-07,6e-05
35,5.4,6.252e-05,1.752e-05,8.238e-07,7.705e-07,6e-05
35,5.45,6.263e-05,1.793e-05,8.626e-07,8.068e-07,6e-05
35,5.5,6.275e-05,1.835e-05,9.033e-07,8.448e-07,6e-05
35,5.55,6.288e-05,1.877e-05,9.458e-07,8.846e-07,6e-05
35,5.6,6.301e-05,1.921e-05,9.904e-07,9.263e-07,6e-05
35,5.65,6.315e-05,1.966e-05,1.037e-06,9.699e-07,6e-05
34,5.7,6.33e-05,2.012e-05,1.055e-06,1.001e-06,6e-05
34,5.75,6.345e-05,2.059e-05,1.105e-06,1.048e-06,6e-05
