planet_name,pl_porb_flag,pl_porb,pl_rade,pl_rade_errhi,pl_rade_errlo,pl_age,pl_age_errhi,pl_age_errlo,pl_agerange,st_mass,st_mass_err,pl_population,ref1,ref2,ref3,ref4
K2-33 b,,5.424865,5.76,0.62,0.58,0.009,0.002,0.004,,0.56,0.09,Sco-Cen OB association (Upper Scorpius),David et al. 2016,Mann et al. 2016,,
HIP 67522 b,,6.9596,10.02,0.54,0.53,0.017,0.002,0.002,,1.22,0.05,Sco-Cen OB association (Upper Centaurus Lupus),Rizzuto et al. 2020,,,
HIP 67522 c,>,23,8.01,0.75,0.71,0.017,0.002,0.002,,1.22,0.05,Sco-Cen OB association (Upper Centaurus Lupus),Rizzuto et al. 2020,,,
AU Mic b,,8.46321,4.38,0.18,0.18,0.022,0.003,0.003,,0.5,0.03,Beta Pic Moving Group,Plavchan et al. 2020,Martioli et al. 2020,,
AU Mic c,,18.858991,3.51,0.16,0.16,0.022,0.003,0.003,,0.5,0.03,Beta Pic Moving Group,Martioli et al. 2020,,,
V1298 Tau b,,24.1396,10.27,0.58,0.53,0.023,0.004,0.004,,1.1,0.05,Taurus-Auriga Complex foreground,David et al. 2019,,,
V1298 Tau c,,8.24958,5.59,0.36,0.32,0.023,0.004,0.004,,1.1,0.05,Taurus-Auriga Complex foreground,David et al. 2019,,,
V1298 Tau d,,12.4032,6.41,0.45,0.4,0.023,0.004,0.004,,1.1,0.05,Taurus-Auriga Complex foreground,David et al. 2019,,,
V1298 Tau e,>,42,8.74,0.84,0.72,0.023,0.004,0.004,,1.1,0.05,Taurus-Auriga Complex foreground,David et al. 2019,,,
TOI-837 b,,8.3248762,8.6,1,1,0.038,0.008,0.008,,1.118,0.059,IC 2602,Bouma et al. 2020,Nardiello et al. 2020,,
DS Tuc A b,,8.138268,5.7,0.17,0.17,0.045,0.004,0.004,,1.01,0.06,Tucana-Horologium Moving Group,Newton et al. 2019,Benatti et al. 2019,,
HD 63433 b,,7.10793,2.15,0.1,0.1,0.414,0.024,0.023,,0.99,0.03,Ursa Major,Mann et al. 2020,,,
HD 63433 c,,20.5453,2.67,0.12,0.12,0.414,0.023,0.023,,0.99,0.03,Ursa Major,Mann et al. 2020,,,
K2-25 b,,3.484552,3.43,0.95,0.31,0.750,0.100,0.100,,0.294,0.021,Hyades,Mann et al. 2016,David et al. 2016,,
K2-136 b,,7.975292,0.99,0.06,0.04,0.750,0.100,0.100,,0.74,0.02,Hyades,Mann et al. 2018,,Livingston et al. 2018,
K2-136 c,,17.307137,2.91,0.11,0.1,0.750,0.100,0.100,,0.74,0.02,Hyades,Mann et al. 2018,Ciardi et al. 2018,Livingston et al. 2018,
K2-136 d,,25.575065,1.45,0.11,0.08,0.750,0.100,0.100,,0.74,0.02,Hyades,Mann et al. 2018,,Livingston et al. 2018,
K2-95 b,,10.134016,3.88,1.75,1.75,0.79,0.06,0.06,,0.44,0.01,Praesepe,Livingston et al. 2018,Mann et al. 2017,Obermeier et al. 2016,Pepper et al. 2017
K2-100 b,,1.673833,3.59,0.14,0.14,0.79,0.06,0.06,,1.23,0.02,Praesepe,Livingston et al. 2018,Mann et al. 2017,Stefansson et al. 2018,
K2-101 b,,14.677286,2,0.1,0.1,0.79,0.06,0.06,,0.8,0.06,Praesepe,Mann et al. 2017,Mayo et al. 2018,,
K2-102 b,,9.915615,1.3,0.1,0.1,0.79,0.06,0.06,,0.77,0.06,Praesepe,Mann et al. 2017,,,
K2-103 b,,21.169861,2.2,0.2,0.1,0.79,0.06,0.06,,0.61,0.02,Praesepe,Mann et al. 2017,Dressing et al. 2017,,
K2-104 b,,1.97419,1.9,0.2,0.1,0.79,0.06,0.06,,0.51,0.02,Praesepe,Mann et al. 2017,,,
K2-264 b,,5.840002,2.231,0.15,0.15,0.79,0.06,0.06,,0.496,0.013,Praesepe,Livingston et al. 2019,Rizzuto et al. 2018,,
K2-264 c,,19.660302,2.668,0.2,0.19,0.79,0.06,0.06,,0.496,0.013,Praesepe,Livingston et al. 2019,Rizzuto et al. 2018,,
Kepler-66 b,,17.815815,2.8,0.16,0.16,1,0.17,0.17,,1.038,0.044,NGC6811,Meibom et al. 2013,,,
Kepler-67 b,,15.7259,2.94,0.16,0.16,1,0.17,0.17,,0.865,0.034,NGC6811,Meibom et al. 2013,,,
K2-231 b,,13.841901,2.5,0.2,0.2,3.000,0.250,0.250,,1.01,0.03,Ruprecht 147,Curtis et al. 2018,,,
Kepler-63 b,,9.4341505,6.11,0.2,0.2,0.210,0.045,0.045,,0.984,0.04,Field,Sanchis-Ojeda et al. 2013,,,
Kepler-411 b,,3.005156,2.401,0.053,0.053,0.212,0.031,0.031,,0.87,0.039,Field,Sun et al. 2019,,,
Kepler-411 c,,7.834435,4.421,0.062,0.062,0.212,0.031,0.031,,0.87,0.039,Field,Sun et al. 2019,,,
Kepler-411 d,,58.02035,3.319,0.104,0.104,0.212,0.031,0.031,,0.87,0.039,Field,Sun et al. 2019,,,
Kepler-51 b,,45.154,7.1,0.3,0.3,0.400,0.100,0.100,,1.04,0.12,Field,Masuda 2014,,,
Kepler-51 c,,85.312,9,2.8,1.7,0.400,0.100,0.100,,1.04,0.12,Field,Masuda 2014,,,
