ID,TLC,EOM,LEAF,Gaia,RAdeg,DEdeg,plx,Gmag,bp-rp
1,22,11,,6099439604319602560,217.3498,-44.7853,5.96,15.6,3.0
14,22,-1,,6096013624866283648,211.7589,-46.437,6.33,15.8,3.2
18,22,12,,6010671151534741376,240.6394,-36.4898,6.05,14.7,2.7
19,22,12,,6010671151534740224,240.6394,-36.4912,6.05,14.6,2.7
22,22,-1,,6074647919231574272,188.8248,-53.8289,7.05,16.9,3.4
23,22,22,,6010652318090533632,240.8197,-36.726,7.24,14.8,2.7
24,22,27,,6074661594397232896,189.9347,-54.0745,7.48,15.0,2.8
25,22,27,,6074670424850403712,189.4281,-54.0756,9.33,13.6,2.6
29,22,-1,,6010690289909581440,240.2483,-36.572,5.55,16.6,3.1
30,22,15,,6017592336735361024,249.4165,-38.8135,5.6,15.2,3.1
31,22,20,,6004604694900148224,227.4176,-42.0518,6.97,17.8,3.8
32,22,27,,6059835539127874688,191.2109,-58.7759,9.18,15.8,3.2
33,22,27,,6059846877842436864,192.1755,-58.639,8.55,14.4,2.8
34,22,-1,,6017588969480727168,249.117,-38.866,7.01,17.6,4.4
35,22,15,,6017592401126416128,249.4445,-38.8125,6.02,13.9,2.4
36,22,15,,6017601338986570368,249.1415,-38.802,5.72,17.1,3.5
38,22,15,,6017602747735927040,249.0521,-38.7339,5.89,15.1,2.7
39,22,15,,6017590206431296000,249.2714,-38.7962,5.91,14.4,2.4
40,22,15,,6017592126248468096,249.4659,-38.8358,5.82,15.7,3.0
42,22,-1,,6059825467381589888,191.1002,-58.9227,9.0,9.8,1.3
48,22,-1,,6067161859948691072,201.7991,-54.1192,6.97,14.7,2.7
49,22,-1,,6067137292734936320,201.1985,-54.3242,9.64,15.0,3.2
50,22,-1,,6067137224015451392,201.2093,-54.3402,8.37,11.4,1.6
54,22,-1,,6149141309462120320,183.1962,-41.1872,7.98,17.3,3.8
68,22,-1,,6076396177076786304,186.7446,-53.6308,7.33,13.4,2.3
74,22,-1,,4111998841692217600,256.2708,-26.1904,8.59,14.8,3.1
75,22,-1,,6005567287273383296,230.8282,-41.2704,6.33,15.9,3.2
76,22,-1,,6005576117726258560,230.476,-41.2616,7.09,16.3,3.2
77,22,-1,,6005607896187485952,230.741,-41.0409,6.76,15.6,3.0
80,22,27,,5837888190620531072,181.3714,-76.0145,9.4,17.5,4.0
